Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Serbia, Total renewable water resources",Serbia,Southern Europe,688,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,162.2
"Serbia, Total water withdrawal",Serbia,Southern Europe,688,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,5.62
"Seychelles, GDP per capita",Seychelles,Eastern Africa,690,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"16,697.90"
"Seychelles, Total dam capacity",Seychelles,Eastern Africa,690,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Seychelles, Total population",Seychelles,Eastern Africa,690,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,97.74
"Seychelles, Total renewable water resources",Seychelles,Eastern Africa,690,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Seychelles, Total water withdrawal",Seychelles,Eastern Africa,690,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.01
"Sierra Leone, GDP per capita",Sierra Leone,Western Africa,694,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,531.28
"Sierra Leone, Total dam capacity",Sierra Leone,Western Africa,694,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.22
"Sierra Leone, Total population",Sierra Leone,Western Africa,694,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"7,813.22"
"Sierra Leone, Total renewable water resources",Sierra Leone,Western Africa,694,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,160
"Sierra Leone, Total water withdrawal",Sierra Leone,Western Africa,694,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.21
"Singapore, GDP per capita",Singapore,South-eastern Asia,702,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"62,348.34"
"Singapore, Total dam capacity",Singapore,South-eastern Asia,702,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.07
"Singapore, Total population",Singapore,South-eastern Asia,702,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"5,804.34"
"Singapore, Total renewable water resources",Singapore,South-eastern Asia,702,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,0.6
"Singapore, Total water withdrawal",Singapore,South-eastern Asia,702,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,0.66
"Slovakia, GDP per capita",Slovakia,Eastern Europe,703,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"19,442.19"
"Slovakia, Total dam capacity",Slovakia,Eastern Europe,703,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.73
"Slovakia, Total population",Slovakia,Eastern Europe,703,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"5,457.01"
"Slovakia, Total renewable water resources",Slovakia,Eastern Europe,703,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,50.1
"Slovakia, Total water withdrawal",Slovakia,Eastern Europe,703,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.61
"Slovenia, GDP per capita",Slovenia,Southern Europe,705,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"25,962.33"
"Slovenia, Total dam capacity",Slovenia,Southern Europe,705,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.03
"Slovenia, Total population",Slovenia,Southern Europe,705,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"2,078.65"
"Slovenia, Total renewable water resources",Slovenia,Southern Europe,705,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,31.87
"Slovenia, Total water withdrawal",Slovenia,Southern Europe,705,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,0.94
"Solomon Islands, GDP per capita",Solomon Islands,Melanesia,90,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"2,039.28"
"Solomon Islands, Total population",Solomon Islands,Melanesia,90,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,669.82
"Solomon Islands, Total renewable water resources",Solomon Islands,Melanesia,90,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,44.7
"Somalia, GDP per capita",Somalia,Eastern Africa,706,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,98.44
"Somalia, Total dam capacity",Somalia,Eastern Africa,706,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Somalia, Total population",Somalia,Eastern Africa,706,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"15,442.91"
"Somalia, Total renewable water resources",Somalia,Eastern Africa,706,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,14.7
"Somalia, Total water withdrawal",Somalia,Eastern Africa,706,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.3
"South Africa, GDP per capita",South Africa,Southern Africa,710,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"6,412.96"
"South Africa, Total dam capacity",South Africa,Southern Africa,710,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,31.02
"South Africa, Total population",South Africa,Southern Africa,710,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"58,558.27"
"South Africa, Total renewable water resources",South Africa,Southern Africa,710,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,51.35
"South Africa, Total water withdrawal",South Africa,Southern Africa,710,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,19.85
"South Sudan, GDP per capita",South Sudan,Eastern Africa,728,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,635.25
"South Sudan, Total population",South Sudan,Eastern Africa,728,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"11,062.11"
"South Sudan, Total renewable water resources",South Sudan,Eastern Africa,728,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,49.5
"South Sudan, Total water withdrawal",South Sudan,Eastern Africa,728,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.66
"Spain, GDP per capita",Spain,Southern Europe,724,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"30,599.42"
"Spain, Total dam capacity",Spain,Southern Europe,724,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,53.81
"Spain, Total population",Spain,Southern Europe,724,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"46,736.78"
"Spain, Total renewable water resources",Spain,Southern Europe,724,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,111.5
"Spain, Total water withdrawal",Spain,Southern Europe,724,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,29.47
"Sri Lanka, GDP per capita",Sri Lanka,Southern Asia,144,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,245.43"
"Sri Lanka, Total dam capacity",Sri Lanka,Southern Asia,144,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.94
"Sri Lanka, Total population",Sri Lanka,Southern Asia,144,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"21,323.73"
"Sri Lanka, Total renewable water resources",Sri Lanka,Southern Asia,144,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,52.8
"Sri Lanka, Total water withdrawal",Sri Lanka,Southern Asia,144,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,12.95
"Sudan, GDP per capita",Sudan,Northern Africa,729,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"1,216.88"
"Sudan, Total dam capacity",Sudan,Northern Africa,729,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,21.23
"Sudan, Total population",Sudan,Northern Africa,729,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"42,813.24"
"Sudan, Total renewable water resources",Sudan,Northern Africa,729,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,37.8
"Sudan, Total water withdrawal",Sudan,Northern Africa,729,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,26.94
"Suriname, GDP per capita",Suriname,South America,740,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"6,084.95"
"Suriname, Total dam capacity",Suriname,South America,740,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,20
"Suriname, Total population",Suriname,South America,740,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,581.37
"Suriname, Total renewable water resources",Suriname,South America,740,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,99
"Suriname, Total water withdrawal",Suriname,South America,740,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.62
"Sweden, GDP per capita",Sweden,Northern Europe,752,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"55,704.97"
"Sweden, Total dam capacity",Sweden,Northern Europe,752,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,35.96
"Sweden, Total population",Sweden,Northern Europe,752,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"10,036.38"
"Sweden, Total renewable water resources",Sweden,Northern Europe,752,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,174
"Sweden, Total water withdrawal",Sweden,Northern Europe,752,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2.38
"Switzerland, GDP per capita",Switzerland,Western Europe,756,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"82,530.17"
"Switzerland, Total dam capacity",Switzerland,Western Europe,756,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,3.34
"Switzerland, Total population",Switzerland,Western Europe,756,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"8,591.37"
"Switzerland, Total renewable water resources",Switzerland,Western Europe,756,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,53.5
"Switzerland, Total water withdrawal",Switzerland,Western Europe,756,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.77
"Syrian Arab Republic, GDP per capita",Syrian Arab Republic,Western Asia,760,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,909.42
"Syrian Arab Republic, Total dam capacity",Syrian Arab Republic,Western Asia,760,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,19.65
"Syrian Arab Republic, Total population",Syrian Arab Republic,Western Asia,760,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"17,070.14"
"Syrian Arab Republic, Total renewable water resources",Syrian Arab Republic,Western Asia,760,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,16.8
"Syrian Arab Republic, Total water withdrawal",Syrian Arab Republic,Western Asia,760,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,16.76
"Tajikistan, GDP per capita",Tajikistan,Central Asia,762,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,826.04
"Tajikistan, Total dam capacity",Tajikistan,Central Asia,762,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,29.51
"Tajikistan, Total population",Tajikistan,Central Asia,762,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"9,321.02"
"Tajikistan, Total renewable water resources",Tajikistan,Central Asia,762,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,21.91
"Tajikistan, Total water withdrawal",Tajikistan,Central Asia,762,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,10.6
"Thailand, GDP per capita",Thailand,South-eastern Asia,764,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"7,299.35"
"Thailand, Total dam capacity",Thailand,South-eastern Asia,764,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,79.23
"Thailand, Total population",Thailand,South-eastern Asia,764,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"69,625.58"
"Thailand, Total renewable water resources",Thailand,South-eastern Asia,764,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,438.61
"Thailand, Total water withdrawal",Thailand,South-eastern Asia,764,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,57.31
"Timor-Leste, GDP per capita",Timor-Leste,South-eastern Asia,626,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"1,949.26"
"Timor-Leste, Total population",Timor-Leste,South-eastern Asia,626,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"1,293.12"
"Timor-Leste, Total renewable water resources",Timor-Leste,South-eastern Asia,626,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,8.22
"Timor-Leste, Total water withdrawal",Timor-Leste,South-eastern Asia,626,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1.17
"Togo, GDP per capita",Togo,Western Africa,768,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,646.41
"Togo, Total dam capacity",Togo,Western Africa,768,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.72
"Togo, Total population",Togo,Western Africa,768,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"8,082.37"
"Togo, Total renewable water resources",Togo,Western Africa,768,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,14.7
"Togo, Total water withdrawal",Togo,Western Africa,768,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.22
"Tokelau, Total population",Tokelau,Polynesia,772,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1.34
"Tokelau, Total renewable water resources",Tokelau,Polynesia,772,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Tonga, GDP per capita",Tonga,Polynesia,776,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,625.36"
"Tonga, Total population",Tonga,Polynesia,776,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,104.49
"Tonga, Total renewable water resources",Tonga,Polynesia,776,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Trinidad and Tobago, GDP per capita",Trinidad and Tobago,Caribbean,780,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"17,345.56"
"Trinidad and Tobago, Total dam capacity",Trinidad and Tobago,Caribbean,780,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.07
"Trinidad and Tobago, Total population",Trinidad and Tobago,Caribbean,780,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"1,394.97"
"Trinidad and Tobago, Total renewable water resources",Trinidad and Tobago,Caribbean,780,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.84
"Trinidad and Tobago, Total water withdrawal",Trinidad and Tobago,Caribbean,780,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.38
"Tunisia, GDP per capita",Tunisia,Northern Africa,788,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"3,421.78"
"Tunisia, Total dam capacity",Tunisia,Northern Africa,788,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.69
"Tunisia, Total population",Tunisia,Northern Africa,788,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"11,694.72"
"Tunisia, Total renewable water resources",Tunisia,Northern Africa,788,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4.62
"Tunisia, Total water withdrawal",Tunisia,Northern Africa,788,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.84
"Türkiye, GDP per capita",Türkiye,Western Asia,792,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"9,416.32"
"Türkiye, Total dam capacity",Türkiye,Western Asia,792,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,157.83
"Türkiye, Total population",Türkiye,Western Asia,792,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"83,429.62"
"Türkiye, Total renewable water resources",Türkiye,Western Asia,792,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,211.6
"Türkiye, Total water withdrawal",Türkiye,Western Asia,792,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,61.92
"Turkmenistan, GDP per capita",Turkmenistan,Central Asia,795,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"6,963.94"
"Turkmenistan, Total dam capacity",Turkmenistan,Central Asia,795,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.59
"Turkmenistan, Total population",Turkmenistan,Central Asia,795,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"5,942.09"
"Turkmenistan, Total renewable water resources",Turkmenistan,Central Asia,795,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,24.77
"Turkmenistan, Total water withdrawal",Turkmenistan,Central Asia,795,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,27.95
"Tuvalu, GDP per capita",Tuvalu,Polynesia,798,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,078.95"
"Tuvalu, Total population",Tuvalu,Polynesia,798,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,11.65
"Tuvalu, Total renewable water resources",Tuvalu,Polynesia,798,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Uganda, GDP per capita",Uganda,Eastern Africa,800,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,679.87
"Uganda, Total dam capacity",Uganda,Eastern Africa,800,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,80
